item_id,date,p10,p50,p90
positive_count,2021-02-13T00:00:00Z,1194.4769287109375,1298.1136474609375,1502.5743408203125
positive_count,2021-02-14T00:00:00Z,832.813720703125,903.6917114257812,1089.2540283203125
positive_count,2021-02-15T00:00:00Z,811.6331176757812,870.0557861328125,1101.4525146484375
positive_count,2021-02-16T00:00:00Z,976.542236328125,1285.4100341796875,1405.8768310546875
positive_count,2021-02-17T00:00:00Z,1164.7144775390625,1439.866943359375,1550.4921875
positive_count,2021-02-18T00:00:00Z,1394.0809326171875,1530.63427734375,1660.3563232421875
positive_count,2021-02-19T00:00:00Z,1492.4788818359375,1684.2572021484375,1874.3087158203125
positive_count,2021-02-20T00:00:00Z,1329.2698974609375,1502.8544921875,1763.537841796875
positive_count,2021-02-21T00:00:00Z,1008.8529663085938,1097.920166015625,1319.4559326171875
positive_count,2021-02-22T00:00:00Z,929.3218994140625,1095.1724853515625,1346.7640380859375
positive_count,2021-02-23T00:00:00Z,1202.0765380859375,1470.9464111328125,1688.89111328125
positive_count,2021-02-24T00:00:00Z,1298.5399169921875,1584.3216552734375,1896.51904296875
positive_count,2021-02-25T00:00:00Z,1687.880126953125,2111.3193359375,2360.724853515625
positive_count,2021-02-26T00:00:00Z,1929.352294921875,2281.006591796875,2444.701416015625
positive_count,2021-02-27T00:00:00Z,1619.4697265625,1883.1201171875,2225.778076171875
positive_count,2021-02-28T00:00:00Z,1182.7919921875,1399.7080078125,1754.5189208984375
positive_count,2021-03-01T00:00:00Z,1293.7164306640625,1485.0865478515625,2033.227783203125
positive_count,2021-03-02T00:00:00Z,1604.43310546875,2014.9686279296875,2322.8876953125
positive_count,2021-03-03T00:00:00Z,1858.736328125,2397.8076171875,2728.550048828125
positive_count,2021-03-04T00:00:00Z,2173.511474609375,2414.427001953125,2902.11962890625
positive_count,2021-03-05T00:00:00Z,2253.203369140625,2598.824951171875,2865.953369140625
positive_count,2021-03-06T00:00:00Z,2267.53955078125,2590.73876953125,3025.882568359375
positive_count,2021-03-07T00:00:00Z,1622.3388671875,2149.339111328125,2683.798095703125
positive_count,2021-03-08T00:00:00Z,1484.849365234375,1973.9429931640625,2488.08740234375
positive_count,2021-03-09T00:00:00Z,1449.822021484375,2124.312255859375,2749.6279296875
positive_count,2021-03-10T00:00:00Z,2011.3599853515625,2687.373291015625,3214.13037109375
positive_count,2021-03-11T00:00:00Z,2848.3720703125,3283.04443359375,3936.718994140625
positive_count,2021-03-12T00:00:00Z,2969.72802734375,3550.89501953125,3950.708251953125
positive_count,2021-03-13T00:00:00Z,2751.049072265625,3120.127685546875,3574.48095703125
positive_count,2021-03-14T00:00:00Z,1760.47265625,2206.5830078125,2556.369384765625
positive_count,2021-03-15T00:00:00Z,1700.9407958984375,2194.14111328125,2622.77099609375
positive_count,2021-03-16T00:00:00Z,1706.1697998046875,2735.0439453125,3072.121337890625
positive_count,2021-03-17T00:00:00Z,2989.650634765625,3609.650146484375,3818.93359375
positive_count,2021-03-18T00:00:00Z,3473.08349609375,3827.343994140625,4566.20458984375
positive_count,2021-03-19T00:00:00Z,3670.906982421875,4005.52978515625,4757.138671875
positive_count,2021-03-20T00:00:00Z,3188.586181640625,3685.761474609375,4295.40478515625
positive_count,2021-03-21T00:00:00Z,2175.04638671875,2771.54345703125,3110.162353515625
positive_count,2021-03-22T00:00:00Z,2140.338623046875,2647.004638671875,3032.4755859375
